File,G652D_40_1500_2xtof_przes500v2.csv,
1478.810000,1.8380E-004,1478.810000,3.1770E-006,1478.810000,1.2790E-007,1478.810000,1.4371E003
1478.892500,1.8430E-004,1478.892500,3.1470E-006,1478.892500,8.9750E-008,1478.892500,2.0535E003
1478.975000,1.8440E-004,1478.975000,3.0750E-006,1478.975000,1.1370E-007,1478.975000,1.6218E003
1479.057500,1.8360E-004,1479.057500,2.9440E-006,1479.057500,9.7390E-008,1479.057500,1.8852E003
1479.140000,1.8410E-004,1479.140000,3.0480E-006,1479.140000,1.2340E-007,1479.140000,1.4919E003
1479.222500,1.8390E-004,1479.222500,3.0210E-006,1479.222500,1.2340E-007,1479.222500,1.4903E003
1479.305000,1.8320E-004,1479.305000,2.9890E-006,1479.305000,1.2780E-007,1479.305000,1.4335E003
1479.387500,1.8410E-004,1479.387500,2.9510E-006,1479.387500,1.2560E-007,1479.387500,1.4658E003
1479.470000,1.8450E-004,1479.470000,3.0040E-006,1479.470000,1.3150E-007,1479.470000,1.4030E003
1479.552500,1.8410E-004,1479.552500,2.8920E-006,1479.552500,1.0090E-007,1479.552500,1.8246E003
1479.635000,1.8420E-004,1479.635000,2.8830E-006,1479.635000,9.2830E-008,1479.635000,1.9843E003
1479.717500,1.8450E-004,1479.717500,2.8220E-006,1479.717500,1.3410E-007,1479.717500,1.3758E003
1479.800000,1.8170E-004,1479.800000,2.7140E-006,1479.800000,9.6490E-008,1479.800000,1.8831E003
1479.882500,1.8210E-004,1479.882500,2.7800E-006,1479.882500,1.0490E-007,1479.882500,1.7359E003
1479.965000,1.8420E-004,1479.965000,2.7630E-006,1479.965000,1.1610E-007,1479.965000,1.5866E003
1480.047500,1.8400E-004,1480.047500,2.8020E-006,1480.047500,1.4860E-007,1480.047500,1.2382E003
1480.130000,1.8440E-004,1480.130000,2.7250E-006,1480.130000,1.0670E-007,1480.130000,1.7282E003
1480.212500,1.8390E-004,1480.212500,2.7020E-006,1480.212500,1.3710E-007,1480.212500,1.3414E003
1480.295000,1.8380E-004,1480.295000,2.6940E-006,1480.295000,1.4140E-007,1480.295000,1.2999E003
1480.377500,1.8380E-004,1480.377500,2.6390E-006,1480.377500,1.2580E-007,1480.377500,1.4610E003
1480.460000,1.8330E-004,1480.460000,2.6110E-006,1480.460000,1.3830E-007,1480.460000,1.3254E003
1480.542500,1.8360E-004,1480.542500,2.5910E-006,1480.542500,1.3580E-007,1480.542500,1.3520E003
1480.625000,1.8270E-004,1480.625000,2.5490E-006,1480.625000,1.1860E-007,1480.625000,1.5405E003
1480.707500,1.7280E-004,1480.707500,2.3540E-006,1480.707500,1.2420E-007,1480.707500,1.3913E003
1480.790000,1.8330E-004,1480.790000,2.5890E-006,1480.790000,1.2880E-007,1480.790000,1.4231E003
1480.872500,1.8430E-004,1480.872500,2.4640E-006,1480.872500,1.3790E-007,1480.872500,1.3365E003
1480.955000,1.8280E-004,1480.955000,2.4960E-006,1480.955000,9.7330E-008,1480.955000,1.8781E003
1481.037500,1.7940E-004,1481.037500,2.3530E-006,1481.037500,1.3390E-007,1481.037500,1.3398E003
1481.120000,1.8430E-004,1481.120000,2.4440E-006,1481.120000,1.4250E-007,1481.120000,1.2933E003
1481.202500,1.8390E-004,1481.202500,2.4290E-006,1481.202500,1.5790E-007,1481.202500,1.1647E003
1481.285000,1.8340E-004,1481.285000,2.3090E-006,1481.285000,1.4420E-007,1481.285000,1.2718E003
1481.367500,1.8450E-004,1481.367500,2.3310E-006,1481.367500,1.4960E-007,1481.367500,1.2333E003
1481.450000,1.8370E-004,1481.450000,2.3540E-006,1481.450000,1.1300E-007,1481.450000,1.6257E003
1481.532500,1.8380E-004,1481.532500,2.3010E-006,1481.532500,1.5990E-007,1481.532500,1.1495E003
1481.615000,1.8430E-004,1481.615000,2.4130E-006,1481.615000,1.6100E-007,1481.615000,1.1447E003
1481.697500,1.8370E-004,1481.697500,2.2280E-006,1481.697500,1.6650E-007,1481.697500,1.1033E003
1481.780000,1.8410E-004,1481.780000,2.2930E-006,1481.780000,1.6360E-007,1481.780000,1.1253E003
1481.862500,1.8430E-004,1481.862500,2.2890E-006,1481.862500,1.4130E-007,1481.862500,1.3043E003
1481.945000,1.8310E-004,1481.945000,2.2110E-006,1481.945000,1.2150E-007,1481.945000,1.5070E003
1482.027500,1.7110E-004,1482.027500,2.1060E-006,1482.027500,1.5430E-007,1482.027500,1.1089E003
1482.110000,1.8210E-004,1482.110000,2.1260E-006,1482.110000,1.3820E-007,1482.110000,1.3177E003
1482.192500,1.8280E-004,1482.192500,2.1570E-006,1482.192500,1.5020E-007,1482.192500,1.2170E003
1482.275000,1.8300E-004,1482.275000,2.0860E-006,1482.275000,2.0180E-007,1482.275000,9.0684E002
1482.357500,1.8310E-004,1482.357500,2.1870E-006,1482.357500,1.1660E-007,1482.357500,1.5703E003
1482.440000,1.7990E-004,1482.440000,2.1010E-006,1482.440000,1.7940E-007,1482.440000,1.0028E003
1482.522500,1.8180E-004,1482.522500,2.0550E-006,1482.522500,1.5120E-007,1482.522500,1.2024E003
1482.605000,1.8300E-004,1482.605000,2.1390E-006,1482.605000,1.6390E-007,1482.605000,1.1165E003
1482.687500,1.8280E-004,1482.687500,2.0870E-006,1482.687500,1.4700E-007,1482.687500,1.2435E003
1482.770000,1.8310E-004,1482.770000,2.1330E-006,1482.770000,1.7680E-007,1482.770000,1.0356E003
1482.852500,1.8300E-004,1482.852500,2.0450E-006,1482.852500,1.7260E-007,1482.852500,1.0603E003
1482.935000,1.8260E-004,1482.935000,2.0430E-006,1482.935000,1.5760E-007,1482.935000,1.1586E003
1483.017500,1.8310E-004,1483.017500,2.0010E-006,1483.017500,1.7870E-007,1483.017500,1.0246E003
1483.100000,1.8290E-004,1483.100000,2.0470E-006,1483.100000,1.5230E-007,1483.100000,1.2009E003
1483.182500,1.8240E-004,1483.182500,2.0380E-006,1483.182500,2.0230E-007,1483.182500,9.0163E002
1483.265000,1.8270E-004,1483.265000,1.9580E-006,1483.265000,2.0060E-007,1483.265000,9.1077E002
1483.347500,1.8210E-004,1483.347500,2.0090E-006,1483.347500,1.3940E-007,1483.347500,1.3063E003
1483.430000,1.8120E-004,1483.430000,1.9010E-006,1483.430000,1.6230E-007,1483.430000,1.1165E003
1483.512500,1.8210E-004,1483.512500,1.9060E-006,1483.512500,2.1180E-007,1483.512500,8.5977E002
1483.595000,1.8210E-004,1483.595000,2.0110E-006,1483.595000,1.7620E-007,1483.595000,1.0335E003
1483.677500,1.8160E-004,1483.677500,1.9420E-006,1483.677500,1.8820E-007,1483.677500,9.6493E002
1483.760000,1.8210E-004,1483.760000,1.9420E-006,1483.760000,2.0540E-007,1483.760000,8.8656E002
1483.842500,1.8180E-004,1483.842500,1.9630E-006,1483.842500,1.8480E-007,1483.842500,9.8377E002
1483.925000,1.8170E-004,1483.925000,1.9130E-006,1483.925000,1.7840E-007,1483.925000,1.0185E003
1484.007500,1.8200E-004,1484.007500,1.9340E-006,1484.007500,2.0660E-007,1484.007500,8.8093E002
1484.090000,1.8180E-004,1484.090000,1.9090E-006,1484.090000,1.5290E-007,1484.090000,1.1890E003
1484.172500,1.8160E-004,1484.172500,1.9030E-006,1484.172500,1.9920E-007,1484.172500,9.1165E002
1484.255000,1.8130E-004,1484.255000,1.8320E-006,1484.255000,1.9810E-007,1484.255000,9.1519E002
1484.337500,1.8110E-004,1484.337500,1.9180E-006,1484.337500,1.7570E-007,1484.337500,1.0307E003
1484.420000,1.8040E-004,1484.420000,1.8390E-006,1484.420000,2.1020E-007,1484.420000,8.5823E002
1484.502500,1.8120E-004,1484.502500,1.9400E-006,1484.502500,1.7880E-007,1484.502500,1.0134E003
1484.585000,1.8010E-004,1484.585000,1.8820E-006,1484.585000,1.9950E-007,1484.585000,9.0276E002
1484.667500,1.7780E-004,1484.667500,1.8840E-006,1484.667500,2.0450E-007,1484.667500,8.6944E002
1484.750000,1.7970E-004,1484.750000,1.8870E-006,1484.750000,1.7170E-007,1484.750000,1.0466E003
1484.832500,1.7820E-004,1484.832500,1.8600E-006,1484.832500,2.3770E-007,1484.832500,7.4968E002
1484.915000,1.8040E-004,1484.915000,1.8970E-006,1484.915000,2.1400E-007,1484.915000,8.4299E002
1484.997500,1.8040E-004,1484.997500,1.8460E-006,1484.997500,2.2200E-007,1484.997500,8.1261E002
1485.080000,1.7990E-004,1485.080000,1.8550E-006,1485.080000,2.4300E-007,1485.080000,7.4033E002
1485.162500,1.8000E-004,1485.162500,1.8640E-006,1485.162500,2.3600E-007,1485.162500,7.6271E002
1485.245000,1.8030E-004,1485.245000,1.8650E-006,1485.245000,2.1930E-007,1485.245000,8.2216E002
1485.327500,1.7950E-004,1485.327500,1.8470E-006,1485.327500,2.2420E-007,1485.327500,8.0062E002
1485.410000,1.7940E-004,1485.410000,1.8730E-006,1485.410000,1.9210E-007,1485.410000,9.3389E002
1485.492500,1.7940E-004,1485.492500,1.9080E-006,1485.492500,1.9210E-007,1485.492500,9.3389E002
1485.575000,1.7730E-004,1485.575000,1.8550E-006,1485.575000,2.4200E-007,1485.575000,7.3264E002
1485.657500,1.7900E-004,1485.657500,1.8190E-006,1485.657500,2.3800E-007,1485.657500,7.5210E002
1485.740000,1.7880E-004,1485.740000,1.8560E-006,1485.740000,2.4870E-007,1485.740000,7.1894E002
1485.822500,1.7820E-004,1485.822500,1.8780E-006,1485.822500,2.3980E-007,1485.822500,7.4312E002
1485.905000,1.7790E-004,1485.905000,1.8620E-006,1485.905000,2.0810E-007,1485.905000,8.5488E002
1485.987500,1.7900E-004,1485.987500,1.9340E-006,1485.987500,2.5950E-007,1485.987500,6.8979E002
1486.070000,1.7870E-004,1486.070000,1.8800E-006,1486.070000,2.5420E-007,1486.070000,7.0299E002
1486.152500,1.7890E-004,1486.152500,1.9200E-006,1486.152500,2.4230E-007,1486.152500,7.3834E002
1486.235000,1.7840E-004,1486.235000,1.9370E-006,1486.235000,2.4900E-007,1486.235000,7.1647E002
1486.317500,1.7790E-004,1486.317500,1.9100E-006,1486.317500,2.5190E-007,1486.317500,7.0623E002
1486.400000,1.7720E-004,1486.400000,1.8920E-006,1486.400000,2.2760E-007,1486.400000,7.7856E002
1486.482500,1.7740E-004,1486.482500,1.9320E-006,1486.482500,2.5570E-007,1486.482500,6.9378E002
1486.565000,1.7690E-004,1486.565000,1.9140E-006,1486.565000,2.2870E-007,1486.565000,7.7350E002
1486.647500,1.7740E-004,1486.647500,1.9890E-006,1486.647500,2.3100E-007,1486.647500,7.6797E002
1486.730000,1.7670E-004,1486.730000,1.8790E-006,1486.730000,2.7220E-007,1486.730000,6.4916E002
1486.812500,1.7350E-004,1486.812500,1.8730E-006,1486.812500,2.8570E-007,1486.812500,6.0728E002
1486.895000,1.7670E-004,1486.895000,1.8700E-006,1486.895000,2.5930E-007,1486.895000,6.8145E002
1486.977500,1.7520E-004,1486.977500,1.8830E-006,1486.977500,2.4170E-007,1486.977500,7.2487E002
1487.060000,1.7270E-004,1487.060000,1.8450E-006,1487.060000,2.6140E-007,1487.060000,6.6067E002
1487.142500,1.7630E-004,1487.142500,1.9560E-006,1487.142500,2.7080E-007,1487.142500,6.5103E002
1487.225000,1.7620E-004,1487.225000,1.9360E-006,1487.225000,2.6330E-007,1487.225000,6.6920E002
1487.307500,1.7610E-004,1487.307500,1.9730E-006,1487.307500,2.7670E-007,1487.307500,6.3643E002
1487.390000,1.7610E-004,1487.390000,1.9710E-006,1487.390000,2.6660E-007,1487.390000,6.6054E002
1487.472500,1.7510E-004,1487.472500,2.0210E-006,1487.472500,2.9800E-007,1487.472500,5.8758E002
1487.555000,1.7500E-004,1487.555000,1.9610E-006,1487.555000,2.8800E-007,1487.555000,6.0764E002
1487.637500,1.7510E-004,1487.637500,1.9710E-006,1487.637500,2.6850E-007,1487.637500,6.5214E002
1487.720000,1.7470E-004,1487.720000,2.0030E-006,1487.720000,2.7100E-007,1487.720000,6.4465E002
1487.802500,1.7440E-004,1487.802500,1.9860E-006,1487.802500,2.9830E-007,1487.802500,5.8465E002
1487.885000,1.7510E-004,1487.885000,2.0310E-006,1487.885000,2.6500E-007,1487.885000,6.6075E002
1487.967500,1.7460E-004,1487.967500,2.0220E-006,1487.967500,2.6960E-007,1487.967500,6.4763E002
1488.050000,1.7500E-004,1488.050000,2.0290E-006,1488.050000,2.7050E-007,1488.050000,6.4695E002
1488.132500,1.7490E-004,1488.132500,2.0640E-006,1488.132500,2.9640E-007,1488.132500,5.9008E002
1488.215000,1.7340E-004,1488.215000,2.0580E-006,1488.215000,3.0410E-007,1488.215000,5.7021E002
1488.297500,1.7170E-004,1488.297500,2.0240E-006,1488.297500,3.1340E-007,1488.297500,5.4786E002
1488.380000,1.7430E-004,1488.380000,2.1810E-006,1488.380000,2.8820E-007,1488.380000,6.0479E002
1488.462500,1.7390E-004,1488.462500,2.1190E-006,1488.462500,2.9220E-007,1488.462500,5.9514E002
1488.545000,1.7350E-004,1488.545000,2.1230E-006,1488.545000,3.1340E-007,1488.545000,5.5361E002
1488.627500,1.7300E-004,1488.627500,2.1040E-006,1488.627500,3.4680E-007,1488.627500,4.9885E002
1488.710000,1.7290E-004,1488.710000,2.1440E-006,1488.710000,2.4740E-007,1488.710000,6.9887E002
1488.792500,1.7300E-004,1488.792500,2.1830E-006,1488.792500,3.0850E-007,1488.792500,5.6078E002
1488.875000,1.7290E-004,1488.875000,2.1420E-006,1488.875000,2.7970E-007,1488.875000,6.1816E002
1488.957500,1.7260E-004,1488.957500,2.1800E-006,1488.957500,3.1510E-007,1488.957500,5.4776E002
1489.040000,1.7300E-004,1489.040000,2.1380E-006,1489.040000,3.1400E-007,1489.040000,5.5096E002
1489.122500,1.7300E-004,1489.122500,2.2260E-006,1489.122500,2.9540E-007,1489.122500,5.8565E002
1489.205000,1.7230E-004,1489.205000,2.2390E-006,1489.205000,3.6150E-007,1489.205000,4.7663E002
1489.287500,1.7260E-004,1489.287500,2.2510E-006,1489.287500,3.3930E-007,1489.287500,5.0869E002
1489.370000,1.7220E-004,1489.370000,2.2620E-006,1489.370000,3.3030E-007,1489.370000,5.2134E002
1489.452500,1.7170E-004,1489.452500,2.2510E-006,1489.452500,2.8160E-007,1489.452500,6.0973E002
1489.535000,1.7220E-004,1489.535000,2.2680E-006,1489.535000,3.3830E-007,1489.535000,5.0902E002
1489.617500,1.7180E-004,1489.617500,2.3540E-006,1489.617500,3.3100E-007,1489.617500,5.1903E002
1489.700000,1.7080E-004,1489.700000,2.2410E-006,1489.700000,3.7930E-007,1489.700000,4.5030E002
1489.782500,1.7140E-004,1489.782500,2.2890E-006,1489.782500,4.3850E-007,1489.782500,3.9088E002
1489.865000,1.7060E-004,1489.865000,2.2920E-006,1489.865000,3.3040E-007,1489.865000,5.1634E002
1489.947500,1.6860E-004,1489.947500,2.3170E-006,1489.947500,3.2660E-007,1489.947500,5.1623E002
1490.030000,1.6810E-004,1490.030000,2.2940E-006,1490.030000,3.4390E-007,1490.030000,4.8880E002
1490.112500,1.7070E-004,1490.112500,2.3340E-006,1490.112500,4.1230E-007,1490.112500,4.1402E002
1490.195000,1.7000E-004,1490.195000,2.3880E-006,1490.195000,3.5750E-007,1490.195000,4.7552E002
1490.277500,1.7090E-004,1490.277500,2.3920E-006,1490.277500,3.9640E-007,1490.277500,4.3113E002
1490.360000,1.7030E-004,1490.360000,2.4360E-006,1490.360000,3.0760E-007,1490.360000,5.5364E002
1490.442500,1.7010E-004,1490.442500,2.4170E-006,1490.442500,3.7970E-007,1490.442500,4.4799E002
1490.525000,1.7050E-004,1490.525000,2.4420E-006,1490.525000,3.7130E-007,1490.525000,4.5920E002
1490.607500,1.7000E-004,1490.607500,2.4300E-006,1490.607500,3.6320E-007,1490.607500,4.6806E002
1490.690000,1.6940E-004,1490.690000,2.4490E-006,1490.690000,3.4020E-007,1490.690000,4.9794E002
1490.772500,1.6950E-004,1490.772500,2.4930E-006,1490.772500,3.3440E-007,1490.772500,5.0688E002
1490.855000,1.6930E-004,1490.855000,2.4640E-006,1490.855000,3.2740E-007,1490.855000,5.1710E002
1490.937500,1.6890E-004,1490.937500,2.4620E-006,1490.937500,3.9030E-007,1490.937500,4.3274E002
1491.020000,1.6930E-004,1491.020000,2.5430E-006,1491.020000,3.4310E-007,1491.020000,4.9344E002
1491.102500,1.6900E-004,1491.102500,2.4970E-006,1491.102500,3.5290E-007,1491.102500,4.7889E002
1491.185000,1.6840E-004,1491.185000,2.4870E-006,1491.185000,3.3750E-007,1491.185000,4.9896E002
1491.267500,1.6880E-004,1491.267500,2.5580E-006,1491.267500,3.6300E-007,1491.267500,4.6501E002
1491.350000,1.6850E-004,1491.350000,2.5770E-006,1491.350000,3.9550E-007,1491.350000,4.2604E002
1491.432500,1.6830E-004,1491.432500,2.6130E-006,1491.432500,4.2460E-007,1491.432500,3.9637E002
1491.515000,1.6880E-004,1491.515000,2.5400E-006,1491.515000,3.6550E-007,1491.515000,4.6183E002
1491.597500,1.6820E-004,1491.597500,2.6000E-006,1491.597500,3.4650E-007,1491.597500,4.8543E002
1491.680000,1.6680E-004,1491.680000,2.5820E-006,1491.680000,4.1580E-007,1491.680000,4.0115E002
1491.762500,1.6540E-004,1491.762500,2.6150E-006,1491.762500,3.9580E-007,1491.762500,4.1789E002
1491.845000,1.6540E-004,1491.845000,2.6340E-006,1491.845000,3.8740E-007,1491.845000,4.2695E002
1491.927500,1.6750E-004,1491.927500,2.6720E-006,1491.927500,3.7570E-007,1491.927500,4.4583E002
1492.010000,1.6740E-004,1492.010000,2.7590E-006,1492.010000,3.8760E-007,1492.010000,4.3189E002
1492.092500,1.6660E-004,1492.092500,2.6740E-006,1492.092500,3.8070E-007,1492.092500,4.3761E002
1492.175000,1.6690E-004,1492.175000,2.7490E-006,1492.175000,4.1990E-007,1492.175000,3.9748E002
1492.257500,1.6710E-004,1492.257500,2.6740E-006,1492.257500,4.2220E-007,1492.257500,3.9578E002
1492.340000,1.6630E-004,1492.340000,2.7070E-006,1492.340000,4.4210E-007,1492.340000,3.7616E002
1492.422500,1.6610E-004,1492.422500,2.7830E-006,1492.422500,3.3500E-007,1492.422500,4.9582E002
1492.505000,1.6690E-004,1492.505000,2.8060E-006,1492.505000,4.3260E-007,1492.505000,3.8581E002
1492.587500,1.6630E-004,1492.587500,2.7410E-006,1492.587500,4.4430E-007,1492.587500,3.7430E002
1492.670000,1.6630E-004,1492.670000,2.8200E-006,1492.670000,4.1450E-007,1492.670000,4.0121E002
1492.752500,1.6620E-004,1492.752500,2.8230E-006,1492.752500,4.6290E-007,1492.752500,3.5904E002
1492.835000,1.6540E-004,1492.835000,2.8450E-006,1492.835000,4.6830E-007,1492.835000,3.5319E002
1492.917500,1.6580E-004,1492.917500,2.8620E-006,1492.917500,3.8880E-007,1492.917500,4.2644E002
1493.000000,1.6550E-004,1493.000000,2.8080E-006,1493.000000,4.4680E-007,1493.000000,3.7041E002
1493.082500,1.6470E-004,1493.082500,2.8790E-006,1493.082500,4.2300E-007,1493.082500,3.8936E002
1493.165000,1.6500E-004,1493.165000,2.8730E-006,1493.165000,4.5620E-007,1493.165000,3.6168E002
1493.247500,1.6490E-004,1493.247500,2.9210E-006,1493.247500,4.6050E-007,1493.247500,3.5809E002
1493.330000,1.6450E-004,1493.330000,2.9320E-006,1493.330000,4.1050E-007,1493.330000,4.0073E002
1493.412500,1.6460E-004,1493.412500,2.9150E-006,1493.412500,4.4930E-007,1493.412500,3.6635E002
1493.495000,1.6490E-004,1493.495000,2.9400E-006,1493.495000,4.7550E-007,1493.495000,3.4679E002
1493.577500,1.6400E-004,1493.577500,2.9420E-006,1493.577500,4.4240E-007,1493.577500,3.7071E002
1493.660000,1.6480E-004,1493.660000,2.9300E-006,1493.660000,4.2280E-007,1493.660000,3.8978E002
1493.742500,1.6500E-004,1493.742500,3.0240E-006,1493.742500,4.5940E-007,1493.742500,3.5916E002
1493.825000,1.6410E-004,1493.825000,3.0050E-006,1493.825000,4.4010E-007,1493.825000,3.7287E002
1493.907500,1.6400E-004,1493.907500,2.9920E-006,1493.907500,4.5510E-007,1493.907500,3.6036E002
1493.990000,1.6430E-004,1493.990000,3.0650E-006,1493.990000,4.6550E-007,1493.990000,3.5295E002
1494.072500,1.6360E-004,1494.072500,3.0090E-006,1494.072500,4.5270E-007,1494.072500,3.6139E002
1494.155000,1.6400E-004,1494.155000,3.0990E-006,1494.155000,4.8060E-007,1494.155000,3.4124E002
1494.237500,1.6360E-004,1494.237500,3.1490E-006,1494.237500,5.0000E-007,1494.237500,3.2720E002
1494.320000,1.6260E-004,1494.320000,3.0800E-006,1494.320000,5.0750E-007,1494.320000,3.2039E002
1494.402500,1.6330E-004,1494.402500,3.0990E-006,1494.402500,4.5540E-007,1494.402500,3.5859E002
1494.485000,1.6350E-004,1494.485000,3.1090E-006,1494.485000,4.5650E-007,1494.485000,3.5816E002
1494.567500,1.6290E-004,1494.567500,3.2110E-006,1494.567500,4.8710E-007,1494.567500,3.3443E002
1494.650000,1.6300E-004,1494.650000,3.1620E-006,1494.650000,4.7450E-007,1494.650000,3.4352E002
1494.732500,1.6310E-004,1494.732500,3.1300E-006,1494.732500,4.8100E-007,1494.732500,3.3909E002
1494.815000,1.6280E-004,1494.815000,3.1620E-006,1494.815000,5.5590E-007,1494.815000,2.9286E002
1494.897500,1.6310E-004,1494.897500,3.2320E-006,1494.897500,4.7750E-007,1494.897500,3.4157E002
1494.980000,1.6260E-004,1494.980000,3.1870E-006,1494.980000,4.8810E-007,1494.980000,3.3313E002
1495.062500,1.6210E-004,1495.062500,3.2390E-006,1495.062500,5.6030E-007,1495.062500,2.8931E002
1495.145000,1.6220E-004,1495.145000,3.3090E-006,1495.145000,4.2190E-007,1495.145000,3.8445E002
1495.227500,1.6170E-004,1495.227500,3.2660E-006,1495.227500,4.9680E-007,1495.227500,3.2548E002
1495.310000,1.6150E-004,1495.310000,3.3320E-006,1495.310000,4.3580E-007,1495.310000,3.7058E002
1495.392500,1.6190E-004,1495.392500,3.2620E-006,1495.392500,4.7660E-007,1495.392500,3.3970E002
1495.475000,1.6100E-004,1495.475000,3.2990E-006,1495.475000,5.3400E-007,1495.475000,3.0150E002
1495.557500,1.6150E-004,1495.557500,3.3950E-006,1495.557500,5.0510E-007,1495.557500,3.1974E002
1495.640000,1.6190E-004,1495.640000,3.3620E-006,1495.640000,4.6600E-007,1495.640000,3.4742E002
1495.722500,1.6150E-004,1495.722500,3.2950E-006,1495.722500,5.2130E-007,1495.722500,3.0980E002
1495.805000,1.6170E-004,1495.805000,3.3280E-006,1495.805000,5.1750E-007,1495.805000,3.1246E002
1495.887500,1.6140E-004,1495.887500,3.3910E-006,1495.887500,5.1300E-007,1495.887500,3.1462E002
1495.970000,1.6160E-004,1495.970000,3.3700E-006,1495.970000,5.1680E-007,1495.970000,3.1269E002
1496.052500,1.6040E-004,1496.052500,3.4570E-006,1496.052500,5.8130E-007,1496.052500,2.7593E002
1496.135000,1.6070E-004,1496.135000,3.3890E-006,1496.135000,4.5970E-007,1496.135000,3.4958E002
1496.217500,1.6110E-004,1496.217500,3.4240E-006,1496.217500,5.5220E-007,1496.217500,2.9174E002
1496.300000,1.6030E-004,1496.300000,3.3950E-006,1496.300000,5.5180E-007,1496.300000,2.9050E002
1496.382500,1.6050E-004,1496.382500,3.4120E-006,1496.382500,5.0770E-007,1496.382500,3.1613E002
1496.465000,1.6040E-004,1496.465000,3.4660E-006,1496.465000,5.1990E-007,1496.465000,3.0852E002
1496.547500,1.5990E-004,1496.547500,3.5070E-006,1496.547500,5.7480E-007,1496.547500,2.7818E002
1496.630000,1.6030E-004,1496.630000,3.4220E-006,1496.630000,4.9540E-007,1496.630000,3.2358E002
1496.712500,1.6000E-004,1496.712500,3.5030E-006,1496.712500,5.2420E-007,1496.712500,3.0523E002
1496.795000,1.5930E-004,1496.795000,3.4620E-006,1496.795000,5.3550E-007,1496.795000,2.9748E002
1496.877500,1.5800E-004,1496.877500,3.4870E-006,1496.877500,5.6270E-007,1496.877500,2.8079E002
1496.960000,1.5980E-004,1496.960000,3.5240E-006,1496.960000,5.8910E-007,1496.960000,2.7126E002
1497.042500,1.5970E-004,1497.042500,3.5490E-006,1497.042500,5.6760E-007,1497.042500,2.8136E002
1497.125000,1.6000E-004,1497.125000,3.5370E-006,1497.125000,6.1590E-007,1497.125000,2.5978E002
1497.207500,1.5970E-004,1497.207500,3.6920E-006,1497.207500,5.2960E-007,1497.207500,3.0155E002
