File,G652D_40_1500_2xtof_przes500v2.csv,
1473.117500,1.6960E-004,1473.117500,4.6390E-006,1473.117500,1.7780E-007,1473.117500,9.5388E002
1473.200000,1.7090E-004,1473.200000,4.7010E-006,1473.200000,1.2780E-007,1473.200000,1.3372E003
1473.282500,1.7100E-004,1473.282500,4.6920E-006,1473.282500,1.7310E-007,1473.282500,9.8787E002
1473.365000,1.7120E-004,1473.365000,4.6670E-006,1473.365000,1.5540E-007,1473.365000,1.1017E003
1473.447500,1.7170E-004,1473.447500,4.7050E-006,1473.447500,1.5860E-007,1473.447500,1.0826E003
1473.530000,1.6870E-004,1473.530000,4.5810E-006,1473.530000,1.3730E-007,1473.530000,1.2287E003
1473.612500,1.7160E-004,1473.612500,4.5510E-006,1473.612500,1.4750E-007,1473.612500,1.1634E003
1473.695000,1.7290E-004,1473.695000,4.6320E-006,1473.695000,1.4760E-007,1473.695000,1.1714E003
1473.777500,1.7270E-004,1473.777500,4.6000E-006,1473.777500,1.4290E-007,1473.777500,1.2085E003
1473.860000,1.7240E-004,1473.860000,4.5600E-006,1473.860000,1.6610E-007,1473.860000,1.0379E003
1473.942500,1.7330E-004,1473.942500,4.5790E-006,1473.942500,1.5020E-007,1473.942500,1.1538E003
1474.025000,1.7080E-004,1474.025000,4.4870E-006,1474.025000,1.3190E-007,1474.025000,1.2949E003
1474.107500,1.6980E-004,1474.107500,4.5450E-006,1474.107500,1.5370E-007,1474.107500,1.1047E003
1474.190000,1.7420E-004,1474.190000,4.4400E-006,1474.190000,1.1110E-007,1474.190000,1.5680E003
1474.272500,1.7390E-004,1474.272500,4.4630E-006,1474.272500,1.5770E-007,1474.272500,1.1027E003
1474.355000,1.7530E-004,1474.355000,4.5040E-006,1474.355000,1.3010E-007,1474.355000,1.3474E003
1474.437500,1.7580E-004,1474.437500,4.4870E-006,1474.437500,1.2410E-007,1474.437500,1.4166E003
1474.520000,1.7550E-004,1474.520000,4.4400E-006,1474.520000,1.0870E-007,1474.520000,1.6145E003
1474.602500,1.7610E-004,1474.602500,4.4190E-006,1474.602500,1.3270E-007,1474.602500,1.3271E003
1474.685000,1.7640E-004,1474.685000,4.4290E-006,1474.685000,1.5510E-007,1474.685000,1.1373E003
1474.767500,1.7620E-004,1474.767500,4.3670E-006,1474.767500,1.0490E-007,1474.767500,1.6797E003
1474.850000,1.7660E-004,1474.850000,4.4050E-006,1474.850000,7.3670E-008,1474.850000,2.3972E003
1474.932500,1.7710E-004,1474.932500,4.4920E-006,1474.932500,1.0730E-007,1474.932500,1.6505E003
1475.015000,1.7630E-004,1475.015000,4.3970E-006,1475.015000,1.4380E-007,1475.015000,1.2260E003
1475.097500,1.7710E-004,1475.097500,4.3100E-006,1475.097500,1.0420E-007,1475.097500,1.6996E003
1475.180000,1.7760E-004,1475.180000,4.3540E-006,1475.180000,1.1230E-007,1475.180000,1.5815E003
1475.262500,1.7770E-004,1475.262500,4.3180E-006,1475.262500,8.1870E-008,1475.262500,2.1705E003
1475.345000,1.7860E-004,1475.345000,4.2630E-006,1475.345000,1.1370E-007,1475.345000,1.5708E003
1475.427500,1.7910E-004,1475.427500,4.3010E-006,1475.427500,1.2860E-007,1475.427500,1.3927E003
1475.510000,1.7890E-004,1475.510000,4.2800E-006,1475.510000,1.2300E-007,1475.510000,1.4545E003
1475.592500,1.7930E-004,1475.592500,4.2670E-006,1475.592500,9.5990E-008,1475.592500,1.8679E003
1475.675000,1.7970E-004,1475.675000,4.2880E-006,1475.675000,1.5500E-007,1475.675000,1.1594E003
1475.757500,1.7910E-004,1475.757500,4.1630E-006,1475.757500,1.4040E-007,1475.757500,1.2756E003
1475.840000,1.7980E-004,1475.840000,4.1920E-006,1475.840000,1.2040E-007,1475.840000,1.4934E003
1475.922500,1.7990E-004,1475.922500,4.0970E-006,1475.922500,1.1730E-007,1475.922500,1.5337E003
1476.005000,1.7880E-004,1476.005000,4.1920E-006,1476.005000,1.2530E-007,1476.005000,1.4270E003
1476.087500,1.7550E-004,1476.087500,3.9800E-006,1476.087500,9.4190E-008,1476.087500,1.8633E003
1476.170000,1.7810E-004,1476.170000,4.0270E-006,1476.170000,1.2680E-007,1476.170000,1.4046E003
1476.252500,1.7830E-004,1476.252500,4.0560E-006,1476.252500,1.1780E-007,1476.252500,1.5136E003
1476.335000,1.7990E-004,1476.335000,4.0180E-006,1476.335000,8.8360E-008,1476.335000,2.0360E003
1476.417500,1.8070E-004,1476.417500,4.0500E-006,1476.417500,1.2620E-007,1476.417500,1.4319E003
1476.500000,1.8070E-004,1476.500000,3.9460E-006,1476.500000,1.0580E-007,1476.500000,1.7079E003
1476.582500,1.8180E-004,1476.582500,4.0560E-006,1476.582500,1.1830E-007,1476.582500,1.5368E003
1476.665000,1.8120E-004,1476.665000,3.9100E-006,1476.665000,1.0610E-007,1476.665000,1.7078E003
1476.747500,1.8150E-004,1476.747500,3.9120E-006,1476.747500,1.3230E-007,1476.747500,1.3719E003
1476.830000,1.8220E-004,1476.830000,3.8890E-006,1476.830000,1.0290E-007,1476.830000,1.7707E003
1476.912500,1.8130E-004,1476.912500,3.8060E-006,1476.912500,1.1250E-007,1476.912500,1.6116E003
1476.995000,1.8120E-004,1476.995000,3.8180E-006,1476.995000,1.3380E-007,1476.995000,1.3543E003
1477.077500,1.8100E-004,1477.077500,3.7590E-006,1477.077500,1.1280E-007,1477.077500,1.6046E003
1477.160000,1.8130E-004,1477.160000,3.7360E-006,1477.160000,1.0740E-007,1477.160000,1.6881E003
1477.242500,1.8160E-004,1477.242500,3.7150E-006,1477.242500,1.1540E-007,1477.242500,1.5737E003
1477.325000,1.8120E-004,1477.325000,3.6810E-006,1477.325000,1.0620E-007,1477.325000,1.7062E003
1477.407500,1.7250E-004,1477.407500,3.4770E-006,1477.407500,1.3350E-007,1477.407500,1.2921E003
1477.490000,1.8250E-004,1477.490000,3.7330E-006,1477.490000,1.3150E-007,1477.490000,1.3878E003
1477.572500,1.8320E-004,1477.572500,3.5960E-006,1477.572500,1.3320E-007,1477.572500,1.3754E003
