
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1465.643000,1.5900E-004,1465.643000,5.9780E-005,1465.643000,1.2890E-005,1465.643000,4.7990E-006
1465.676000,1.5940E-004,1465.676000,6.0060E-005,1465.676000,1.2880E-005,1465.676000,4.8160E-006
1465.709000,1.6000E-004,1465.709000,6.0190E-005,1465.709000,1.3000E-005,1465.709000,4.8100E-006
1465.742000,1.6030E-004,1465.742000,6.0450E-005,1465.742000,1.3090E-005,1465.742000,4.7930E-006
1465.775000,1.6030E-004,1465.775000,6.0360E-005,1465.775000,1.3000E-005,1465.775000,4.7090E-006
1465.808000,1.6060E-004,1465.808000,6.0280E-005,1465.808000,1.2910E-005,1465.808000,4.7650E-006
1465.841000,1.6060E-004,1465.841000,6.0300E-005,1465.841000,1.2900E-005,1465.841000,4.7370E-006
1465.874000,1.6140E-004,1465.874000,6.0550E-005,1465.874000,1.2900E-005,1465.874000,4.7000E-006
1465.907000,1.6160E-004,1465.907000,6.0880E-005,1465.907000,1.2860E-005,1465.907000,4.6060E-006
1465.940000,1.6140E-004,1465.940000,6.0660E-005,1465.940000,1.2810E-005,1465.940000,4.6640E-006
1465.973000,1.6020E-004,1465.973000,6.0550E-005,1465.973000,1.2780E-005,1465.973000,4.6540E-006
1466.006000,1.6060E-004,1466.006000,6.0600E-005,1466.006000,1.2680E-005,1466.006000,4.5680E-006
1466.039000,1.6180E-004,1466.039000,6.0980E-005,1466.039000,1.2830E-005,1466.039000,4.6170E-006
1466.072000,1.6270E-004,1466.072000,6.1240E-005,1466.072000,1.2810E-005,1466.072000,4.4820E-006
1466.105000,1.6360E-004,1466.105000,6.1240E-005,1466.105000,1.2880E-005,1466.105000,4.5320E-006
1466.138000,1.6360E-004,1466.138000,6.1600E-005,1466.138000,1.2840E-005,1466.138000,4.5080E-006
1466.171000,1.6390E-004,1466.171000,6.1770E-005,1466.171000,1.2880E-005,1466.171000,4.4800E-006
1466.204000,1.6400E-004,1466.204000,6.1840E-005,1466.204000,1.2900E-005,1466.204000,4.4540E-006
1466.237000,1.6460E-004,1466.237000,6.2030E-005,1466.237000,1.2790E-005,1466.237000,4.3970E-006
1466.270000,1.6440E-004,1466.270000,6.1940E-005,1466.270000,1.2920E-005,1466.270000,4.4370E-006
1466.303000,1.6490E-004,1466.303000,6.1820E-005,1466.303000,1.2790E-005,1466.303000,4.3240E-006
1466.336000,1.6440E-004,1466.336000,6.1800E-005,1466.336000,1.2800E-005,1466.336000,4.3820E-006
1466.369000,1.6270E-004,1466.369000,6.1130E-005,1466.369000,1.2600E-005,1466.369000,4.2250E-006
1466.402000,1.6530E-004,1466.402000,6.2120E-005,1466.402000,1.2650E-005,1466.402000,4.3370E-006
1466.435000,1.6630E-004,1466.435000,6.2820E-005,1466.435000,1.2860E-005,1466.435000,4.3050E-006
1466.468000,1.6690E-004,1466.468000,6.3120E-005,1466.468000,1.2880E-005,1466.468000,4.2850E-006
1466.501000,1.6700E-004,1466.501000,6.3170E-005,1466.501000,1.2850E-005,1466.501000,4.2280E-006
1466.534000,1.6740E-004,1466.534000,6.3190E-005,1466.534000,1.2890E-005,1466.534000,4.2600E-006
1466.567000,1.6780E-004,1466.567000,6.3320E-005,1466.567000,1.2900E-005,1466.567000,4.2380E-006
1466.600000,1.6760E-004,1466.600000,6.3260E-005,1466.600000,1.2790E-005,1466.600000,4.2890E-006
1466.633000,1.6770E-004,1466.633000,6.3450E-005,1466.633000,1.2890E-005,1466.633000,4.1890E-006
1466.666000,1.6920E-004,1466.666000,6.4050E-005,1466.666000,1.2930E-005,1466.666000,4.2700E-006
1466.699000,1.6990E-004,1466.699000,6.4390E-005,1466.699000,1.2970E-005,1466.699000,4.2330E-006
1466.732000,1.7010E-004,1466.732000,6.4430E-005,1466.732000,1.3020E-005,1466.732000,4.2120E-006
1466.765000,1.7050E-004,1466.765000,6.4370E-005,1466.765000,1.2870E-005,1466.765000,4.2510E-006
1466.798000,1.7040E-004,1466.798000,6.4580E-005,1466.798000,1.2910E-005,1466.798000,4.2340E-006
1466.831000,1.7170E-004,1466.831000,6.4600E-005,1466.831000,1.3020E-005,1466.831000,4.2210E-006
1466.864000,1.7170E-004,1466.864000,6.4800E-005,1466.864000,1.2930E-005,1466.864000,4.3400E-006
1466.897000,1.7180E-004,1466.897000,6.5050E-005,1466.897000,1.2950E-005,1466.897000,4.3640E-006
1466.930000,1.7110E-004,1466.930000,6.4970E-005,1466.930000,1.2830E-005,1466.930000,4.3380E-006
1466.963000,1.6850E-004,1466.963000,6.3700E-005,1466.963000,1.2740E-005,1466.963000,4.3600E-006
1466.996000,1.6620E-004,1466.996000,6.2890E-005,1466.996000,1.2530E-005,1466.996000,4.2830E-006
1467.029000,1.7040E-004,1467.029000,6.4390E-005,1467.029000,1.2740E-005,1467.029000,4.4280E-006
1467.062000,1.7240E-004,1467.062000,6.5180E-005,1467.062000,1.3010E-005,1467.062000,4.5440E-006
1467.095000,1.7340E-004,1467.095000,6.5520E-005,1467.095000,1.2970E-005,1467.095000,4.6290E-006
1467.128000,1.7380E-004,1467.128000,6.5970E-005,1467.128000,1.3000E-005,1467.128000,4.7260E-006
1467.161000,1.7390E-004,1467.161000,6.6180E-005,1467.161000,1.3030E-005,1467.161000,4.7750E-006
1467.194000,1.7400E-004,1467.194000,6.6010E-005,1467.194000,1.3020E-005,1467.194000,4.8030E-006
1467.227000,1.7450E-004,1467.227000,6.6120E-005,1467.227000,1.3000E-005,1467.227000,4.8330E-006
1467.260000,1.7470E-004,1467.260000,6.6290E-005,1467.260000,1.3030E-005,1467.260000,4.9540E-006
1467.293000,1.7520E-004,1467.293000,6.6250E-005,1467.293000,1.2990E-005,1467.293000,5.0190E-006
1467.326000,1.7570E-004,1467.326000,6.6680E-005,1467.326000,1.2980E-005,1467.326000,5.1020E-006
1467.359000,1.7590E-004,1467.359000,6.6890E-005,1467.359000,1.2940E-005,1467.359000,5.2990E-006
1467.392000,1.7630E-004,1467.392000,6.7190E-005,1467.392000,1.3020E-005,1467.392000,5.3420E-006
1467.425000,1.7620E-004,1467.425000,6.7110E-005,1467.425000,1.3070E-005,1467.425000,5.4720E-006
1467.458000,1.7650E-004,1467.458000,6.7020E-005,1467.458000,1.3080E-005,1467.458000,5.5790E-006
