
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1463.217500,9.7710E-005,1463.217500,8.8190E-007,1463.217500,5.6970E-007,1463.217500,1.7151E002
1463.300000,9.8650E-005,1463.300000,8.8850E-007,1463.300000,6.4780E-007,1463.300000,1.5228E002
1463.382500,9.8440E-005,1463.382500,8.3490E-007,1463.382500,6.2780E-007,1463.382500,1.5680E002
1463.465000,9.8550E-005,1463.465000,8.8290E-007,1463.465000,6.2050E-007,1463.465000,1.5882E002
1463.547500,9.2550E-005,1463.547500,8.2680E-007,1463.547500,5.4830E-007,1463.547500,1.6879E002
1463.630000,1.0030E-004,1463.630000,9.0000E-007,1463.630000,6.4610E-007,1463.630000,1.5524E002
1463.712500,1.0180E-004,1463.712500,8.8430E-007,1463.712500,5.9910E-007,1463.712500,1.6992E002
1463.795000,1.0270E-004,1463.795000,9.1970E-007,1463.795000,6.4400E-007,1463.795000,1.5947E002
1463.877500,1.0360E-004,1463.877500,8.9870E-007,1463.877500,6.9880E-007,1463.877500,1.4825E002
1463.960000,1.0480E-004,1463.960000,9.2590E-007,1463.960000,6.6000E-007,1463.960000,1.5879E002
1464.042500,1.0530E-004,1464.042500,1.0030E-006,1464.042500,6.9430E-007,1464.042500,1.5166E002
1464.125000,1.0580E-004,1464.125000,9.5210E-007,1464.125000,7.5890E-007,1464.125000,1.3941E002
1464.207500,1.0680E-004,1464.207500,8.9730E-007,1464.207500,7.0550E-007,1464.207500,1.5138E002
1464.290000,1.0660E-004,1464.290000,9.4210E-007,1464.290000,6.5040E-007,1464.290000,1.6390E002
1464.372500,1.0760E-004,1464.372500,9.7010E-007,1464.372500,7.1860E-007,1464.372500,1.4974E002
1464.455000,1.0840E-004,1464.455000,9.4590E-007,1464.455000,7.5500E-007,1464.455000,1.4358E002
1464.537500,1.0880E-004,1464.537500,9.2640E-007,1464.537500,7.2460E-007,1464.537500,1.5015E002
1464.620000,1.0950E-004,1464.620000,1.0130E-006,1464.620000,7.3870E-007,1464.620000,1.4823E002
1464.702500,1.1040E-004,1464.702500,9.6300E-007,1464.702500,7.4940E-007,1464.702500,1.4732E002
1464.785000,1.1100E-004,1464.785000,9.6230E-007,1464.785000,6.9950E-007,1464.785000,1.5868E002
1464.867500,1.1190E-004,1464.867500,9.8110E-007,1464.867500,7.5260E-007,1464.867500,1.4868E002
1464.950000,1.1270E-004,1464.950000,9.6890E-007,1464.950000,8.4550E-007,1464.950000,1.3329E002
