
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.447200,8.0380E-005,1460.447200,1.2750E-006,1460.447200,8.7040E-007,1460.447200,4.2340E-007,1460.447200,1.8984E002
1460.463680,8.0600E-005,1460.463680,1.2480E-006,1460.463680,8.9590E-007,1460.463680,4.2100E-007,1460.463680,1.9145E002
1460.480160,8.0600E-005,1460.480160,1.3050E-006,1460.480160,8.3370E-007,1460.480160,5.0350E-007,1460.480160,1.6008E002
1460.496640,8.0960E-005,1460.496640,1.3050E-006,1460.496640,8.1320E-007,1460.496640,4.1730E-007,1460.496640,1.9401E002
1460.513120,8.1020E-005,1460.513120,1.2890E-006,1460.513120,8.3110E-007,1460.513120,4.3900E-007,1460.513120,1.8456E002
1460.529600,8.1200E-005,1460.529600,1.2970E-006,1460.529600,8.3820E-007,1460.529600,4.1000E-007,1460.529600,1.9805E002
1460.546080,8.1330E-005,1460.546080,1.2580E-006,1460.546080,8.3410E-007,1460.546080,4.8180E-007,1460.546080,1.6880E002
1460.562560,8.1560E-005,1460.562560,1.3580E-006,1460.562560,8.4310E-007,1460.562560,4.5640E-007,1460.562560,1.7870E002
1460.579040,8.1800E-005,1460.579040,1.3570E-006,1460.579040,8.9070E-007,1460.579040,4.4850E-007,1460.579040,1.8239E002
1460.595520,8.2010E-005,1460.595520,1.3120E-006,1460.595520,8.3070E-007,1460.595520,5.3170E-007,1460.595520,1.5424E002
1460.612000,8.1880E-005,1460.612000,1.2740E-006,1460.612000,9.0010E-007,1460.612000,4.9620E-007,1460.612000,1.6501E002
1460.628480,8.1840E-005,1460.628480,1.3140E-006,1460.628480,8.2830E-007,1460.628480,5.5110E-007,1460.628480,1.4850E002
1460.644960,8.1950E-005,1460.644960,1.3120E-006,1460.644960,8.7710E-007,1460.644960,4.9670E-007,1460.644960,1.6499E002
1460.661440,8.1970E-005,1460.661440,1.3120E-006,1460.661440,8.5500E-007,1460.661440,5.3210E-007,1460.661440,1.5405E002
1460.677920,8.2010E-005,1460.677920,1.2770E-006,1460.677920,8.6490E-007,1460.677920,4.4330E-007,1460.677920,1.8500E002
1460.694400,8.2010E-005,1460.694400,1.3800E-006,1460.694400,8.2190E-007,1460.694400,4.5150E-007,1460.694400,1.8164E002
1460.710880,8.2470E-005,1460.710880,1.3100E-006,1460.710880,7.8900E-007,1460.710880,5.2070E-007,1460.710880,1.5838E002
1460.727360,8.2660E-005,1460.727360,1.3090E-006,1460.727360,8.1150E-007,1460.727360,4.9930E-007,1460.727360,1.6555E002
1460.743840,8.2750E-005,1460.743840,1.3490E-006,1460.743840,8.9180E-007,1460.743840,4.6250E-007,1460.743840,1.7892E002
1460.760320,8.2600E-005,1460.760320,1.3670E-006,1460.760320,7.9200E-007,1460.760320,5.1580E-007,1460.760320,1.6014E002
1460.776800,8.2850E-005,1460.776800,1.3000E-006,1460.776800,8.4380E-007,1460.776800,4.6050E-007,1460.776800,1.7991E002
1460.793280,8.3220E-005,1460.793280,1.3350E-006,1460.793280,8.4340E-007,1460.793280,5.3540E-007,1460.793280,1.5544E002
1460.809760,8.3300E-005,1460.809760,1.3910E-006,1460.809760,8.0870E-007,1460.809760,5.2440E-007,1460.809760,1.5885E002
1460.826240,8.3540E-005,1460.826240,1.3080E-006,1460.826240,8.0750E-007,1460.826240,5.5690E-007,1460.826240,1.5001E002
1460.842720,8.3540E-005,1460.842720,1.3720E-006,1460.842720,8.7020E-007,1460.842720,5.2200E-007,1460.842720,1.6004E002
1460.859200,8.3860E-005,1460.859200,1.3230E-006,1460.859200,8.2770E-007,1460.859200,4.9020E-007,1460.859200,1.7107E002
1460.875680,8.3520E-005,1460.875680,1.3170E-006,1460.875680,8.8530E-007,1460.875680,5.0850E-007,1460.875680,1.6425E002
1460.892160,8.3480E-005,1460.892160,1.3270E-006,1460.892160,8.1050E-007,1460.892160,5.6400E-007,1460.892160,1.4801E002
1460.908640,8.3610E-005,1460.908640,1.3380E-006,1460.908640,8.8620E-007,1460.908640,5.3000E-007,1460.908640,1.5775E002
1460.925120,8.3820E-005,1460.925120,1.3560E-006,1460.925120,8.5450E-007,1460.925120,5.6740E-007,1460.925120,1.4773E002
1460.941600,8.3840E-005,1460.941600,1.3650E-006,1460.941600,8.0570E-007,1460.941600,5.3690E-007,1460.941600,1.5616E002
1460.958080,8.4080E-005,1460.958080,1.3650E-006,1460.958080,7.8400E-007,1460.958080,5.0310E-007,1460.958080,1.6712E002
1460.974560,8.4400E-005,1460.974560,1.2870E-006,1460.974560,8.5910E-007,1460.974560,5.1430E-007,1460.974560,1.6411E002
1460.991040,8.4550E-005,1460.991040,1.3440E-006,1460.991040,8.3220E-007,1460.991040,5.3390E-007,1460.991040,1.5836E002
1461.007520,8.4750E-005,1461.007520,1.3970E-006,1461.007520,8.4080E-007,1461.007520,5.6910E-007,1461.007520,1.4892E002
1461.024000,8.4830E-005,1461.024000,1.3820E-006,1461.024000,8.3800E-007,1461.024000,4.8610E-007,1461.024000,1.7451E002
1461.040480,8.4790E-005,1461.040480,1.3930E-006,1461.040480,8.5390E-007,1461.040480,5.7750E-007,1461.040480,1.4682E002
1461.056960,8.5060E-005,1461.056960,1.3800E-006,1461.056960,7.6200E-007,1461.056960,5.8530E-007,1461.056960,1.4533E002
1461.073440,8.5230E-005,1461.073440,1.3440E-006,1461.073440,8.4820E-007,1461.073440,5.8110E-007,1461.073440,1.4667E002
1461.089920,8.5100E-005,1461.089920,1.3230E-006,1461.089920,8.1840E-007,1461.089920,5.6340E-007,1461.089920,1.5105E002
1461.106400,8.4440E-005,1461.106400,1.4170E-006,1461.106400,8.6000E-007,1461.106400,5.7720E-007,1461.106400,1.4629E002
1461.122880,8.4260E-005,1461.122880,1.3710E-006,1461.122880,7.9920E-007,1461.122880,5.3760E-007,1461.122880,1.5673E002
1461.139360,8.4670E-005,1461.139360,1.3410E-006,1461.139360,8.2720E-007,1461.139360,5.3350E-007,1461.139360,1.5871E002
1461.155840,8.5230E-005,1461.155840,1.3800E-006,1461.155840,8.5660E-007,1461.155840,5.6540E-007,1461.155840,1.5074E002
1461.172320,8.5680E-005,1461.172320,1.3640E-006,1461.172320,8.0540E-007,1461.172320,5.6530E-007,1461.172320,1.5157E002
1461.188800,8.6070E-005,1461.188800,1.3940E-006,1461.188800,8.9960E-007,1461.188800,5.7400E-007,1461.188800,1.4995E002
1461.205280,8.6580E-005,1461.205280,1.3760E-006,1461.205280,8.4760E-007,1461.205280,5.9330E-007,1461.205280,1.4593E002
1461.221760,8.6410E-005,1461.221760,1.4440E-006,1461.221760,8.1100E-007,1461.221760,6.0340E-007,1461.221760,1.4321E002
1461.238240,8.6800E-005,1461.238240,1.3790E-006,1461.238240,8.8090E-007,1461.238240,5.8340E-007,1461.238240,1.4878E002
1461.254720,8.6970E-005,1461.254720,1.3680E-006,1461.254720,8.7700E-007,1461.254720,6.0490E-007,1461.254720,1.4378E002
1461.271200,8.7230E-005,1461.271200,1.4190E-006,1461.271200,8.4200E-007,1461.271200,6.0680E-007,1461.271200,1.4375E002
1461.287680,8.7310E-005,1461.287680,1.4060E-006,1461.287680,7.8800E-007,1461.287680,6.0340E-007,1461.287680,1.4470E002
1461.304160,8.7550E-005,1461.304160,1.4410E-006,1461.304160,8.3620E-007,1461.304160,5.4060E-007,1461.304160,1.6195E002
1461.320640,8.7770E-005,1461.320640,1.4070E-006,1461.320640,8.0930E-007,1461.320640,6.6810E-007,1461.320640,1.3137E002
1461.337120,8.7550E-005,1461.337120,1.4190E-006,1461.337120,8.3710E-007,1461.337120,6.1780E-007,1461.337120,1.4171E002
1461.353600,8.7750E-005,1461.353600,1.3840E-006,1461.353600,8.1190E-007,1461.353600,6.1950E-007,1461.353600,1.4165E002
