
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(J),Level(J)
1462.557500,9.6830E-005,1462.557500,1.1200E-007,1462.557500,7.1450E-007,1462.557500,8.6455E002
1462.574000,9.6950E-005,1462.574000,1.5940E-007,1462.574000,7.7380E-007,1462.574000,6.0822E002
1462.590500,9.7130E-005,1462.590500,1.6550E-007,1462.590500,7.4500E-007,1462.590500,5.8689E002
1462.607000,9.7110E-005,1462.607000,1.2310E-007,1462.607000,7.4610E-007,1462.607000,7.8887E002
1462.623500,9.7320E-005,1462.623500,1.3370E-007,1462.623500,7.6970E-007,1462.623500,7.2790E002
1462.640000,9.7450E-005,1462.640000,1.3760E-007,1462.640000,8.2040E-007,1462.640000,7.0821E002
1462.656500,9.7640E-005,1462.656500,1.5700E-007,1462.656500,7.3210E-007,1462.656500,6.2191E002
1462.673000,9.8090E-005,1462.673000,1.4010E-007,1462.673000,7.6500E-007,1462.673000,7.0014E002
1462.689500,9.8140E-005,1462.689500,1.0720E-007,1462.689500,8.1350E-007,1462.689500,9.1549E002
1462.706000,9.8350E-005,1462.706000,1.4030E-007,1462.706000,7.3880E-007,1462.706000,7.0100E002
1462.722500,9.8520E-005,1462.722500,1.2410E-007,1462.722500,7.5190E-007,1462.722500,7.9388E002
1462.739000,9.8690E-005,1462.739000,1.0500E-007,1462.739000,7.0610E-007,1462.739000,9.3990E002
1462.755500,9.9040E-005,1462.755500,1.3560E-007,1462.755500,7.6110E-007,1462.755500,7.3038E002
1462.772000,9.8840E-005,1462.772000,1.1580E-007,1462.772000,8.2460E-007,1462.772000,8.5354E002
1462.788500,9.8780E-005,1462.788500,1.4140E-007,1462.788500,7.0490E-007,1462.788500,6.9859E002
1462.805000,9.9060E-005,1462.805000,1.2260E-007,1462.805000,7.6990E-007,1462.805000,8.0799E002
1462.821500,9.9140E-005,1462.821500,1.5400E-007,1462.821500,7.5660E-007,1462.821500,6.4377E002
1462.838000,9.9190E-005,1462.838000,1.5830E-007,1462.838000,7.9320E-007,1462.838000,6.2660E002
1462.854500,9.9470E-005,1462.854500,1.0800E-007,1462.854500,7.7570E-007,1462.854500,9.2102E002
1462.871000,9.9510E-005,1462.871000,1.7160E-007,1462.871000,7.9220E-007,1462.871000,5.7990E002
1462.887500,9.9620E-005,1462.887500,1.0970E-007,1462.887500,7.7780E-007,1462.887500,9.0811E002
1462.904000,9.9660E-005,1462.904000,1.5350E-007,1462.904000,7.2540E-007,1462.904000,6.4925E002
1462.920500,9.9680E-005,1462.920500,1.4680E-007,1462.920500,7.1940E-007,1462.920500,6.7902E002
1462.937000,9.9750E-005,1462.937000,1.0540E-007,1462.937000,6.9500E-007,1462.937000,9.4639E002
1462.953500,9.9810E-005,1462.953500,1.5350E-007,1462.953500,7.8810E-007,1462.953500,6.5023E002
1462.970000,1.0020E-004,1462.970000,1.7640E-007,1462.970000,7.9490E-007,1462.970000,5.6803E002
1462.986500,1.0030E-004,1462.986500,1.3630E-007,1462.986500,8.0590E-007,1462.986500,7.3588E002
1463.003000,1.0020E-004,1463.003000,1.3270E-007,1463.003000,7.0490E-007,1463.003000,7.5509E002
1463.019500,1.0040E-004,1463.019500,1.2680E-007,1463.019500,7.8640E-007,1463.019500,7.9180E002
1463.036000,1.0030E-004,1463.036000,1.2280E-007,1463.036000,7.8160E-007,1463.036000,8.1678E002
1463.052500,1.0020E-004,1463.052500,1.1030E-007,1463.052500,8.1700E-007,1463.052500,9.0843E002
1463.069000,1.0040E-004,1463.069000,1.6140E-007,1463.069000,7.0610E-007,1463.069000,6.2206E002
1463.085500,1.0060E-004,1463.085500,1.2860E-007,1463.085500,7.5550E-007,1463.085500,7.8227E002
1463.102000,1.0090E-004,1463.102000,1.3990E-007,1463.102000,7.5290E-007,1463.102000,7.2123E002
1463.118500,1.0080E-004,1463.118500,1.5160E-007,1463.118500,8.1360E-007,1463.118500,6.6491E002
1463.135000,1.0080E-004,1463.135000,1.5230E-007,1463.135000,7.1920E-007,1463.135000,6.6185E002
1463.151500,1.0080E-004,1463.151500,1.1050E-007,1463.151500,7.7110E-007,1463.151500,9.1222E002
1463.168000,1.0060E-004,1463.168000,1.0050E-007,1463.168000,7.7910E-007,1463.168000,1.0010E003
1463.184500,1.0020E-004,1463.184500,1.5530E-007,1463.184500,7.0010E-007,1463.184500,6.4520E002
1463.201000,9.9170E-005,1463.201000,1.4110E-007,1463.201000,7.9280E-007,1463.201000,7.0283E002
1463.217500,9.7110E-005,1463.217500,1.3490E-007,1463.217500,7.6230E-007,1463.217500,7.1987E002
1463.234000,9.5420E-005,1463.234000,1.1820E-007,1463.234000,6.8830E-007,1463.234000,8.0728E002
1463.250500,9.6340E-005,1463.250500,1.3650E-007,1463.250500,7.5810E-007,1463.250500,7.0579E002
1463.267000,9.8800E-005,1463.267000,1.6740E-007,1463.267000,7.4130E-007,1463.267000,5.9020E002
1463.283500,1.0060E-004,1463.283500,1.4300E-007,1463.283500,7.2690E-007,1463.283500,7.0350E002
1463.300000,1.0150E-004,1463.300000,1.3070E-007,1463.300000,7.3620E-007,1463.300000,7.7659E002
1463.316500,1.0210E-004,1463.316500,9.9300E-008,1463.316500,7.4390E-007,1463.316500,1.0282E003
1463.333000,1.0240E-004,1463.333000,1.1150E-007,1463.333000,7.0060E-007,1463.333000,9.1839E002
1463.349500,1.0280E-004,1463.349500,1.5740E-007,1463.349500,8.3440E-007,1463.349500,6.5311E002
1463.366000,1.0310E-004,1463.366000,1.4620E-007,1463.366000,8.0380E-007,1463.366000,7.0520E002
1463.382500,1.0310E-004,1463.382500,1.5200E-007,1463.382500,8.3170E-007,1463.382500,6.7829E002
1463.399000,1.0330E-004,1463.399000,1.2360E-007,1463.399000,7.5700E-007,1463.399000,8.3576E002
1463.415500,1.0360E-004,1463.415500,1.5390E-007,1463.415500,7.9930E-007,1463.415500,6.7316E002
1463.432000,1.0390E-004,1463.432000,1.3690E-007,1463.432000,7.9840E-007,1463.432000,7.5895E002
1463.448500,1.0390E-004,1463.448500,1.0350E-007,1463.448500,7.9490E-007,1463.448500,1.0039E003
1463.465000,1.0400E-004,1463.465000,1.3760E-007,1463.465000,8.0520E-007,1463.465000,7.5581E002
1463.481500,1.0430E-004,1463.481500,1.3820E-007,1463.481500,7.7950E-007,1463.481500,7.5470E002
1463.498000,1.0430E-004,1463.498000,1.6720E-007,1463.498000,7.6470E-007,1463.498000,6.2380E002
1463.514500,1.0460E-004,1463.514500,1.4500E-007,1463.514500,8.1250E-007,1463.514500,7.2138E002
1463.531000,1.0480E-004,1463.531000,1.2750E-007,1463.531000,8.3830E-007,1463.531000,8.2196E002
1463.547500,1.0520E-004,1463.547500,1.5230E-007,1463.547500,7.7500E-007,1463.547500,6.9074E002
1463.564000,1.0510E-004,1463.564000,1.4050E-007,1463.564000,8.0950E-007,1463.564000,7.4804E002
1463.580500,1.0520E-004,1463.580500,1.5800E-007,1463.580500,7.6750E-007,1463.580500,6.6582E002
1463.597000,1.0560E-004,1463.597000,1.2480E-007,1463.597000,8.1160E-007,1463.597000,8.4615E002
1463.613500,1.0580E-004,1463.613500,1.4670E-007,1463.613500,8.1950E-007,1463.613500,7.2120E002
1463.630000,1.0620E-004,1463.630000,1.3570E-007,1463.630000,8.5340E-007,1463.630000,7.8261E002
1463.646500,1.0620E-004,1463.646500,1.4690E-007,1463.646500,8.0090E-007,1463.646500,7.2294E002
1463.663000,1.0640E-004,1463.663000,1.2100E-007,1463.663000,8.0150E-007,1463.663000,8.7934E002
1463.679500,1.0670E-004,1463.679500,1.7360E-007,1463.679500,8.2860E-007,1463.679500,6.1463E002
1463.696000,1.0670E-004,1463.696000,1.5040E-007,1463.696000,7.7770E-007,1463.696000,7.0944E002
1463.712500,1.0690E-004,1463.712500,1.4710E-007,1463.712500,8.2090E-007,1463.712500,7.2672E002
1463.729000,1.0710E-004,1463.729000,1.5270E-007,1463.729000,8.2710E-007,1463.729000,7.0138E002
1463.745500,1.0700E-004,1463.745500,1.7460E-007,1463.745500,8.2940E-007,1463.745500,6.1283E002
1463.762000,1.0730E-004,1463.762000,1.3700E-007,1463.762000,8.1080E-007,1463.762000,7.8321E002
1463.778500,1.0710E-004,1463.778500,1.7040E-007,1463.778500,7.8030E-007,1463.778500,6.2852E002
1463.795000,1.0720E-004,1463.795000,1.6980E-007,1463.795000,8.5990E-007,1463.795000,6.3133E002
1463.811500,1.0750E-004,1463.811500,1.4900E-007,1463.811500,8.0710E-007,1463.811500,7.2148E002
1463.828000,1.0760E-004,1463.828000,1.7570E-007,1463.828000,8.5470E-007,1463.828000,6.1241E002
1463.844500,1.0780E-004,1463.844500,1.3050E-007,1463.844500,8.4420E-007,1463.844500,8.2605E002
1463.861000,1.0820E-004,1463.861000,1.6470E-007,1463.861000,8.2360E-007,1463.861000,6.5695E002
1463.877500,1.0830E-004,1463.877500,1.8270E-007,1463.877500,8.2600E-007,1463.877500,5.9278E002
1463.894000,1.0840E-004,1463.894000,1.3220E-007,1463.894000,7.9270E-007,1463.894000,8.1997E002
1463.910500,1.0850E-004,1463.910500,1.6180E-007,1463.910500,8.1500E-007,1463.910500,6.7058E002
1463.927000,1.0870E-004,1463.927000,1.5870E-007,1463.927000,7.9730E-007,1463.927000,6.8494E002
1463.943500,1.0870E-004,1463.943500,1.5510E-007,1463.943500,8.3280E-007,1463.943500,7.0084E002
1463.960000,1.0860E-004,1463.960000,1.6300E-007,1463.960000,7.6700E-007,1463.960000,6.6626E002
1463.976500,1.0850E-004,1463.976500,1.4980E-007,1463.976500,8.7470E-007,1463.976500,7.2430E002
1463.993000,1.0850E-004,1463.993000,1.8540E-007,1463.993000,8.1350E-007,1463.993000,5.8522E002
1464.009500,1.0880E-004,1464.009500,1.5980E-007,1464.009500,8.5240E-007,1464.009500,6.8085E002
1464.026000,1.0900E-004,1464.026000,1.4900E-007,1464.026000,8.2530E-007,1464.026000,7.3154E002
1464.042500,1.0910E-004,1464.042500,1.1580E-007,1464.042500,8.0950E-007,1464.042500,9.4214E002
1464.059000,1.0950E-004,1464.059000,1.4610E-007,1464.059000,8.1270E-007,1464.059000,7.4949E002
1464.075500,1.0940E-004,1464.075500,1.5310E-007,1464.075500,7.8530E-007,1464.075500,7.1457E002
1464.092000,1.0960E-004,1464.092000,1.7130E-007,1464.092000,8.4360E-007,1464.092000,6.3981E002
