
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1470.197000,1.5850E-004,1470.197000,8.7530E-005,1470.197000,1.8108E000
1470.213500,1.5870E-004,1470.213500,8.7730E-005,1470.213500,1.8090E000
1470.230000,1.5860E-004,1470.230000,8.7810E-005,1470.230000,1.8062E000
1470.246500,1.5880E-004,1470.246500,8.8120E-005,1470.246500,1.8021E000
1470.263000,1.5890E-004,1470.263000,8.7880E-005,1470.263000,1.8081E000
1470.279500,1.5900E-004,1470.279500,8.8030E-005,1470.279500,1.8062E000
1470.296000,1.5920E-004,1470.296000,8.8030E-005,1470.296000,1.8085E000
1470.312500,1.5940E-004,1470.312500,8.7930E-005,1470.312500,1.8128E000
1470.329000,1.5910E-004,1470.329000,8.8030E-005,1470.329000,1.8073E000
1470.345500,1.5900E-004,1470.345500,8.8060E-005,1470.345500,1.8056E000
1470.362000,1.5860E-004,1470.362000,8.7890E-005,1470.362000,1.8045E000
1470.378500,1.5870E-004,1470.378500,8.7760E-005,1470.378500,1.8083E000
1470.395000,1.5900E-004,1470.395000,8.7890E-005,1470.395000,1.8091E000
1470.411500,1.5910E-004,1470.411500,8.8230E-005,1470.411500,1.8032E000
1470.428000,1.5930E-004,1470.428000,8.8100E-005,1470.428000,1.8082E000
