
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1463.630000,1.1650E-004,1463.630000,4.1490E-005,1463.630000,3.9110E-006,1463.630000,6.2550E-006
1463.646500,1.1660E-004,1463.646500,4.1640E-005,1463.646500,3.9310E-006,1463.646500,6.3020E-006
1463.663000,1.1680E-004,1463.663000,4.1730E-005,1463.663000,3.9030E-006,1463.663000,6.3210E-006
1463.679500,1.1680E-004,1463.679500,4.1730E-005,1463.679500,4.0060E-006,1463.679500,6.2920E-006
1463.696000,1.1710E-004,1463.696000,4.1770E-005,1463.696000,3.8960E-006,1463.696000,6.3090E-006
1463.712500,1.1700E-004,1463.712500,4.1920E-005,1463.712500,4.0250E-006,1463.712500,6.3600E-006
1463.729000,1.1730E-004,1463.729000,4.1730E-005,1463.729000,4.0640E-006,1463.729000,6.3090E-006
1463.745500,1.1700E-004,1463.745500,4.1790E-005,1463.745500,3.9910E-006,1463.745500,6.2790E-006
1463.762000,1.1730E-004,1463.762000,4.1640E-005,1463.762000,3.9990E-006,1463.762000,6.4290E-006
1463.778500,1.1730E-004,1463.778500,4.1840E-005,1463.778500,4.0440E-006,1463.778500,6.3070E-006
1463.795000,1.1740E-004,1463.795000,4.1820E-005,1463.795000,3.9710E-006,1463.795000,6.3470E-006
1463.811500,1.1750E-004,1463.811500,4.2140E-005,1463.811500,3.9890E-006,1463.811500,6.3090E-006
1463.828000,1.1760E-004,1463.828000,4.2140E-005,1463.828000,4.0380E-006,1463.828000,6.4700E-006
1463.844500,1.1770E-004,1463.844500,4.2120E-005,1463.844500,4.0230E-006,1463.844500,6.3640E-006
1463.861000,1.1800E-004,1463.861000,4.2270E-005,1463.861000,4.0440E-006,1463.861000,6.3800E-006
1463.877500,1.1820E-004,1463.877500,4.2220E-005,1463.877500,4.0360E-006,1463.877500,6.4540E-006
1463.894000,1.1850E-004,1463.894000,4.2100E-005,1463.894000,4.0620E-006,1463.894000,6.3920E-006
1463.910500,1.1850E-004,1463.910500,4.2310E-005,1463.910500,4.0940E-006,1463.910500,6.4520E-006
1463.927000,1.1880E-004,1463.927000,4.2400E-005,1463.927000,4.0720E-006,1463.927000,6.5440E-006
1463.943500,1.1840E-004,1463.943500,4.2530E-005,1463.943500,4.0210E-006,1463.943500,6.4590E-006
1463.960000,1.1880E-004,1463.960000,4.2590E-005,1463.960000,4.0700E-006,1463.960000,6.5000E-006
1463.976500,1.1860E-004,1463.976500,4.2520E-005,1463.976500,4.0920E-006,1463.976500,6.4520E-006
1463.993000,1.1910E-004,1463.993000,4.2550E-005,1463.993000,4.0980E-006,1463.993000,6.5080E-006
1464.009500,1.1910E-004,1464.009500,4.2590E-005,1464.009500,4.0210E-006,1464.009500,6.5230E-006
