
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1462.920500,1.1940E-004,1462.920500,7.2030E-005,1462.920500,3.5170E-005,1462.920500,2.4790E-005,1462.920500,3.3949E000
1462.937000,1.1950E-004,1462.937000,7.2050E-005,1462.937000,3.5150E-005,1462.937000,2.4790E-005,1462.937000,3.3997E000
1462.953500,1.1940E-004,1462.953500,7.2200E-005,1462.953500,3.5340E-005,1462.953500,2.4830E-005,1462.953500,3.3786E000
1462.970000,1.1940E-004,1462.970000,7.2010E-005,1462.970000,3.5240E-005,1462.970000,2.4890E-005,1462.970000,3.3882E000
1462.986500,1.1940E-004,1462.986500,7.2200E-005,1462.986500,3.5390E-005,1462.986500,2.4830E-005,1462.986500,3.3738E000
1463.003000,1.1970E-004,1463.003000,7.2180E-005,1463.003000,3.5340E-005,1463.003000,2.4790E-005,1463.003000,3.3871E000
1463.019500,1.1980E-004,1463.019500,7.2410E-005,1463.019500,3.5430E-005,1463.019500,2.4910E-005,1463.019500,3.3813E000
1463.036000,1.2000E-004,1463.036000,7.2440E-005,1463.036000,3.5340E-005,1463.036000,2.4920E-005,1463.036000,3.3956E000
1463.052500,1.2020E-004,1463.052500,7.2650E-005,1463.052500,3.5390E-005,1463.052500,2.4920E-005,1463.052500,3.3964E000
1463.069000,1.2050E-004,1463.069000,7.2700E-005,1463.069000,3.5600E-005,1463.069000,2.4940E-005,1463.069000,3.3848E000
1463.085500,1.2050E-004,1463.085500,7.2820E-005,1463.085500,3.5560E-005,1463.085500,2.4980E-005,1463.085500,3.3886E000
1463.102000,1.2070E-004,1463.102000,7.2970E-005,1463.102000,3.5830E-005,1463.102000,2.5020E-005,1463.102000,3.3687E000
1463.118500,1.2060E-004,1463.118500,7.2970E-005,1463.118500,3.5540E-005,1463.118500,2.5090E-005,1463.118500,3.3934E000
1463.135000,1.2030E-004,1463.135000,7.2990E-005,1463.135000,3.5620E-005,1463.135000,2.5110E-005,1463.135000,3.3773E000
1463.151500,1.1990E-004,1463.151500,7.2590E-005,1463.151500,3.5530E-005,1463.151500,2.4980E-005,1463.151500,3.3746E000
